normalized_term,term,search_ts,dest_ts,time_to_click_sec,dest_host,dest_title
"mundhinam parthene — harris jayaraj","Mundhinam Parthene — Harris Jayaraj","2025-09-27 08:27:06","2025-09-27 08:27:06",0.05,m.youtube.com,"Mundhinam Parthene — Harris Jayaraj - YouTube"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:27:04","2025-09-22 10:27:04",0.08,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:27:04","2025-09-22 10:27:04",0.08,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:28:20","2025-09-22 10:28:20",0.11,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:28:20","2025-09-22 10:28:20",0.11,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:24:53","2025-09-22 10:24:53",0.13,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:24:53","2025-09-22 10:24:53",0.13,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"custom provider","custom provider","2025-08-12 11:07:50","2025-08-12 11:07:50",0.18,www.promptfoo.dev,"Search results for ""custom provider"" | Promptfoo"
"custom provider","custom provider","2025-08-12 11:07:50","2025-08-12 11:07:50",0.18,www.promptfoo.dev,"Search results for ""custom provider"" | Promptfoo"
"best director","Best Director","2025-09-19 05:19:13","2025-09-19 05:19:13",0.25,en.wikipedia.org,"Best Director - Wikipedia"
"best director","Best Director","2025-09-19 05:19:13","2025-09-19 05:19:13",0.25,en.wikipedia.org,"Best Director - Wikipedia"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:01","2025-10-02 11:40:01",0.3,github.com,"Pull request search results"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:01","2025-10-02 11:40:01",0.3,github.com,"Pull request search results"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:01","2025-10-02 11:40:01",0.3,github.com,"Pull request search results"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:01","2025-10-02 11:40:01",0.3,github.com,"Pull request search results"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:01","2025-10-02 11:40:01",0.3,github.com,"Pull request search results"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:01","2025-10-02 11:40:01",0.3,github.com,"Pull request search results"
"osbot tiny linux","osbot tiny linux","2025-09-16 04:48:35","2025-09-16 04:48:35",0.36,www.google.com,https://www.google.com/search?sca_esv=5d492a60a0e5c7c0&sxsrf=AE3TifMSLghVqvm9FGhjS-YB962USXxD0A:1757998108310&q=osbot+tiny+linux&nfpr=1&sa=X&ved=2ahUKEwjK0YumvdyPAxWi9jgGHVNCNFMQvgUoAXoECAoQAg&biw=1221&bih=864&dpr=1.25
"osbot tiny linux","osbot tiny linux","2025-09-16 04:48:35","2025-09-16 04:48:35",0.36,www.google.com,https://www.google.com/search?sca_esv=5d492a60a0e5c7c0&sxsrf=AE3TifMSLghVqvm9FGhjS-YB962USXxD0A:1757998108310&q=osbot+tiny+linux&nfpr=1&sa=X&ved=2ahUKEwjK0YumvdyPAxWi9jgGHVNCNFMQvgUoAXoECAoQAg&biw=1221&bih=864&dpr=1.25
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:25:13","2025-09-22 10:25:13",0.36,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:25:13","2025-09-22 10:25:13",0.36,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"mahesh babu ramya krishna movie","mahesh babu ramya krishna movie","2025-09-01 12:35:42","2025-09-01 12:35:42",0.39,www.google.com,"Guntur Kaaram - Google Search"
"mahesh babu ramya krishna movie","mahesh babu ramya krishna movie","2025-09-01 12:35:42","2025-09-01 12:35:42",0.39,www.google.com,"Guntur Kaaram - Google Search"
"site:youtube.com/watch madonna","site:youtube.com/watch madonna","2025-09-27 09:38:51","2025-09-27 09:38:51",0.41,www.google.com,"Madonna - Material Girl (Official Video) [HD] - YouTube"
"site:youtube.com/watch madonna","site:youtube.com/watch madonna","2025-09-27 09:38:51","2025-09-27 09:38:51",0.41,www.google.com,"Madonna - Material Girl (Official Video) [HD] - YouTube"
"osbot tiny linux","osbot tiny linux","2025-09-16 04:48:43","2025-09-16 04:48:43",0.44,www.google.com,"osbot tiny linux - Google Search"
"osbot tiny linux","osbot tiny linux","2025-09-16 04:48:43","2025-09-16 04:48:43",0.44,www.google.com,"osbot tiny linux - Google Search"
"is postnl a client of straive","is postnl a client of straive","2025-09-30 12:17:41","2025-09-30 12:17:41",0.46,www.google.com,"is postnl a client of straive - Google Search"
"is postnl a client of straive","is postnl a client of straive","2025-09-30 12:17:41","2025-09-30 12:17:41",0.46,www.google.com,"is postnl a client of straive - Google Search"
jc,jc,"2025-08-06 08:17:21","2025-08-06 08:17:21",0.48,www.google.com,"jc json table - Google Search"
jc,jc,"2025-08-06 08:17:21","2025-08-06 08:17:21",0.48,www.google.com,"jc json table - Google Search"
"guntur kaaram","Guntur Kaaram","2025-09-01 12:35:42","2025-09-01 12:35:42",0.49,www.google.com,"Guntur Kaaram - Google Search"
"guntur kaaram","Guntur Kaaram","2025-09-01 12:35:42","2025-09-01 12:35:42",0.49,www.google.com,"Guntur Kaaram - Google Search"
"jobs most impacted by ai","jobs most impacted by ai","2025-07-13 16:59:36","2025-07-13 16:59:36",0.62,www.google.com,"jobs most impacted by ai - Google Search"
"machi machi","Machi machi","2025-08-09 14:50:32","2025-08-09 14:50:32",0.62,www.google.com,"Machi machi - Google Shopping"
"machi machi","Machi machi","2025-08-09 14:50:32","2025-08-09 14:50:32",0.62,www.google.com,"Machi machi - Google Shopping"
"machi machi song download sapna choudhary","machi machi song download sapna choudhary","2025-08-09 14:50:57","2025-08-09 14:50:57",0.64,www.google.com,"ethi ethi song - Google Shopping"
"machi machi song download sapna choudhary","machi machi song download sapna choudhary","2025-08-09 14:50:57","2025-08-09 14:50:57",0.64,www.google.com,"ethi ethi song - Google Shopping"
"model context window over time","model context window over time","2025-09-22 09:08:42","2025-09-22 09:08:42",0.64,www.google.com,"model context window over time - Google Search"
"model context window over time","model context window over time","2025-09-22 09:08:42","2025-09-22 09:08:42",0.64,www.google.com,"model context window over time - Google Search"
"machi machi song download","machi machi song download","2025-08-09 14:50:48","2025-08-09 14:50:48",0.65,www.google.com,"machi machi song download sapna choudhary - Google Shopping"
"machi machi song download","machi machi song download","2025-08-09 14:50:48","2025-08-09 14:50:48",0.65,www.google.com,"machi machi song download sapna choudhary - Google Shopping"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:25:17","2025-09-22 10:25:17",0.66,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:25:17","2025-09-22 10:25:17",0.66,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"mmlu benchmark time trend","mmlu benchmark time trend","2025-09-22 10:33:18","2025-09-22 10:33:18",0.67,www.google.com,"mmlu benchmark time trend - Google Search"
"mmlu benchmark time trend","mmlu benchmark time trend","2025-09-22 10:33:18","2025-09-22 10:33:18",0.67,www.google.com,"mmlu benchmark time trend - Google Search"
"oh shanthi shanthi — harris jayaraj","Oh Shanthi Shanthi — Harris Jayaraj","2025-09-27 08:27:43","2025-09-27 08:27:43",0.7,m.youtube.com,"Oh Shanthi Shanthi — Harris Jayaraj - YouTube"
"machi machi","Machi machi","2025-08-09 14:50:36","2025-08-09 14:50:36",0.73,www.google.com,"machi machi song - Google Shopping"
"machi machi","Machi machi","2025-08-09 14:50:36","2025-08-09 14:50:36",0.73,www.google.com,"machi machi song - Google Shopping"
"llm multimodal benchmarks","llm multimodal benchmarks","2025-09-22 10:32:45","2025-09-22 10:32:45",0.73,www.google.com,"llm multimodal benchmarks - Google Search"
"llm multimodal benchmarks","llm multimodal benchmarks","2025-09-22 10:32:45","2025-09-22 10:32:45",0.73,www.google.com,"llm multimodal benchmarks - Google Search"
blizzo,blizzo,"2025-08-17 02:04:13","2025-08-17 02:04:13",0.75,www.google.com,"blizzo vudeo - Google Search"
blizzo,blizzo,"2025-08-17 02:04:13","2025-08-17 02:04:13",0.75,www.google.com,"blizzo vudeo - Google Search"
"iim bangalore best student best all rounder gold medal pgdm ""2001""","iim bangalore best student best all rounder gold medal pgdm ""2001""","2025-08-17 08:07:40","2025-08-17 08:07:40",0.75,www.google.com,"iim bangalore Gold medalist ""2001"" - Google Search"
"iim bangalore best student best all rounder gold medal pgdm ""2001""","iim bangalore best student best all rounder gold medal pgdm ""2001""","2025-08-17 08:07:40","2025-08-17 08:07:40",0.75,www.google.com,"iim bangalore Gold medalist ""2001"" - Google Search"
"dna tamil film mohammad zeeshan ayub","dna tamil film mohammad zeeshan ayub","2025-07-20 13:12:15","2025-07-20 13:12:15",0.77,www.google.com,"dna tamil film mohammad zeeshan ayub - Google Search"
"dna tamil film mohammad zeeshan ayub","dna tamil film mohammad zeeshan ayub","2025-07-20 13:12:15","2025-07-20 13:12:15",0.77,www.google.com,"dna tamil film mohammad zeeshan ayub - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:27:11","2025-09-22 10:27:11",0.77,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:27:11","2025-09-22 10:27:11",0.77,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"one punch man pretty manga panels","one punch man pretty manga panels","2025-08-03 10:58:35","2025-08-03 10:58:35",0.81,www.google.com,"one punch man pretty manga panels - Google Search"
"one punch man pretty manga panels","one punch man pretty manga panels","2025-08-03 10:58:35","2025-08-03 10:58:35",0.81,www.google.com,"one punch man pretty manga panels - Google Search"
"one punch man pretty manga panels","one punch man pretty manga panels","2025-08-03 10:58:35","2025-08-03 10:58:35",0.81,www.google.com,"one punch man pretty manga panels - Google Search"
"one punch man pretty manga panels","one punch man pretty manga panels","2025-08-03 10:58:35","2025-08-03 10:58:35",0.81,www.google.com,"one punch man pretty manga panels - Google Search"
"llm vs human judge comparison chart","llm vs human judge comparison chart","2025-09-22 10:26:04","2025-09-22 10:26:04",0.81,www.google.com,"llm vs human judge comparison chart - Google Search"
"llm vs human judge comparison chart","llm vs human judge comparison chart","2025-09-22 10:26:04","2025-09-22 10:26:04",0.81,www.google.com,"llm vs human judge comparison chart - Google Search"
"llm multimodal benchmarks","llm multimodal benchmarks","2025-09-22 10:32:42","2025-09-22 10:32:42",0.82,www.google.com,"llm multimodal benchmarks - Google Search"
"llm multimodal benchmarks","llm multimodal benchmarks","2025-09-22 10:32:42","2025-09-22 10:32:42",0.82,www.google.com,"llm multimodal benchmarks - Google Search"
"beautiful slides","beautiful slides","2025-07-31 01:03:46","2025-07-31 01:03:46",0.84,www.google.com,"beautiful slides - Google Search"
"beautiful slides","beautiful slides","2025-07-31 01:03:46","2025-07-31 01:03:46",0.84,www.google.com,"beautiful slides - Google Search"
"10 print chr$(205.5+rnd(1)); : goto 10","10 PRINT CHR$(205.5+RND(1)); : GOTO 10","2025-08-14 11:16:40","2025-08-14 11:16:40",0.86,www.google.com,"10 PRINT CHR$(205.5+RND(1)); : GOTO 10 - Google Search"
"10 print chr$(205.5+rnd(1)); : goto 10","10 PRINT CHR$(205.5+RND(1)); : GOTO 10","2025-08-14 11:16:40","2025-08-14 11:16:40",0.86,www.google.com,"10 PRINT CHR$(205.5+RND(1)); : GOTO 10 - Google Search"
"10 print chr$(205.5+rnd(1)); : goto 10","10 PRINT CHR$(205.5+RND(1)); : GOTO 10","2025-08-14 11:16:40","2025-08-14 11:16:40",0.86,www.google.com,"10 PRINT CHR$(205.5+RND(1)); : GOTO 10 - Google Search"
"10 print chr$(205.5+rnd(1)); : goto 10","10 PRINT CHR$(205.5+RND(1)); : GOTO 10","2025-08-14 11:16:40","2025-08-14 11:16:40",0.86,www.google.com,"10 PRINT CHR$(205.5+RND(1)); : GOTO 10 - Google Search"
"blizzo vudeo","blizzo vudeo","2025-08-17 02:04:17","2025-08-17 02:04:17",0.87,www.google.com,"blizzo video - Google Search"
"blizzo vudeo","blizzo vudeo","2025-08-17 02:04:17","2025-08-17 02:04:17",0.87,www.google.com,"blizzo video - Google Search"
"dna film","dna film","2025-07-20 13:10:11","2025-07-20 13:10:11",0.89,www.google.com,"dna film - Google Search"
"dna film","dna film","2025-07-20 13:10:11","2025-07-20 13:10:11",0.89,www.google.com,"dna film - Google Search"
mouse,mouse,"2025-09-26 04:40:15","2025-09-26 04:40:15",0.9,www.amazon.in,"Amazon.in : mouse"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:26:50","2025-09-22 10:26:50",0.91,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:26:50","2025-09-22 10:26:50",0.91,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llm chinese whispers","llm chinese whispers","2025-08-03 11:50:07","2025-08-03 11:50:07",0.92,www.google.com,"llm chinese whispers game - Google Search"
"llm chinese whispers","llm chinese whispers","2025-08-03 11:50:07","2025-08-03 11:50:07",0.92,www.google.com,"llm chinese whispers game - Google Search"
"mmlu benchmark time trend","mmlu benchmark time trend","2025-09-22 10:33:36","2025-09-22 10:33:36",0.92,www.google.com,"mmlu benchmark time trend - Google Search"
"mmlu benchmark time trend","mmlu benchmark time trend","2025-09-22 10:33:36","2025-09-22 10:33:36",0.92,www.google.com,"mmlu benchmark time trend - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:26:55","2025-09-22 10:26:55",0.93,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:26:55","2025-09-22 10:26:55",0.93,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:25:06","2025-09-22 10:25:06",0.96,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"llms as a judge accuracy vs humans","llms as a judge accuracy vs humans","2025-09-22 10:25:06","2025-09-22 10:25:06",0.96,www.google.com,"llms as a judge accuracy vs humans - Google Search"
"wart / mold removal plaster (like band-aid) dr scholls circular shape with salicylic acid","Wart / mold removal plaster (like band-aid) Dr Scholls circular shape with salicylic acid","2025-09-28 12:38:02","2025-09-28 12:38:02",0.98,www.google.com,"Wart / mold removal plaster (like band-aid) Dr Scholls circular shape with salicylic acid - Google Search"
"wart / mold removal plaster (like band-aid) dr scholls circular shape with salicylic acid","Wart / mold removal plaster (like band-aid) Dr Scholls circular shape with salicylic acid","2025-09-28 12:38:02","2025-09-28 12:38:02",0.98,www.google.com,"Wart / mold removal plaster (like band-aid) Dr Scholls circular shape with salicylic acid - Google Search"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:15","2025-10-02 11:40:15",0.99,github.com,"Pull request search results"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:15","2025-10-02 11:40:15",0.99,github.com,"Pull request search results"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:15","2025-10-02 11:40:15",0.99,github.com,"Pull request search results"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:15","2025-10-02 11:40:15",0.99,github.com,"Pull request search results"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:15","2025-10-02 11:40:15",0.99,github.com,"Pull request search results"
"is:pr is:merged author:vikaskumar168 -user:vikaskumar168","is:pr is:merged author:vikaskumar168 -user:vikaskumar168","2025-10-02 11:40:15","2025-10-02 11:40:15",0.99,github.com,"Pull request search results"
"kalpavriksha singapore","kalpavriksha singapore","2025-08-09 12:08:07","2025-08-09 12:08:08",1.01,www.google.com,"Kalpavriksha Fine Arts"
