name,gap_pypi,gap_npm,dependents_count_pypi,dependents_count_npm,dependent_repos_count_pypi,dependent_repos_count_npm,gap_diff
node,1.4763162600834328,0.413866260199669,538,2193,17,845,1.0624499998837638
pkginfo,0.4551463760290062,0.14004615487104166,1656,1403,580,1016,0.31510022115796454
prompt,0.5026753591920508,0.25373017646327645,34,8038,10,4481,0.2489451827287743
jsii,0.4368982295248576,0.18824272397962494,1689,1793,617,1162,0.24865550554523264
amqp,0.3897196784253465,0.21260809288144333,156,371,63,227,0.17711158554390316
stringcase,0.17871540288183008,0.04309357955911031,248,306,164,277,0.13562182332271977
json5,0.46370967054176315,0.33376927716287286,828,8317,284,3856,0.1299403933788903
feedparser,0.2802214896757853,0.151267675330649,977,322,512,227,0.1289538143451363
update,0.40748532657826797,0.2855429760930712,22,302,8,156,0.12194235048519675
esprima,0.3774183415274359,0.2562160580647457,61,5344,25,2962,0.12120228346269024
comment-parser,0.33099321904142454,0.2176728089622202,14,344,6,208,0.11332041007920435
fakeredis,0.23306731204521958,0.12098287142618114,182,254,106,192,0.11208444061903844
backoff,0.28954239150652716,0.18493666628358518,969,371,497,242,0.10460572522294198
csv,0.3280882283980171,0.23614636659714172,148,1265,69,734,0.09194186180087538
ndjson,0.2568263331719278,0.17142639699951046,55,462,30,311,0.08539993617241737
hiredis,0.23661895465416727,0.1527678304730573,318,724,184,509,0.08385112418110996
projen,0.2762064119389491,0.19728653689036735,33,1815,17,1152,0.07891987504858178
tinify,0.36797678529459443,0.30887552869231705,20,390,8,191,0.059101256602277386
zmq,0.29081083048229517,0.2416969426841873,167,484,85,277,0.04911388779810788
sorcery,0.28724171117834785,0.2411912940315073,30,351,15,201,0.04605041714684055
rethinkdb,0.18708664335714453,0.14394564675460497,39,396,25,284,0.04314099660253956
thrift,0.3289526773928877,0.28612294938564276,272,314,127,162,0.04282972800724494
interpret,0.37445891282251487,0.3352293255299372,44,1927,18,890,0.03922958729257764
esm,0.324511091513504,0.29033366544807304,18,10386,8,5322,0.03417742606543095
babel,0.2179462055474941,0.18569967135521015,516,22027,312,14363,0.03224653419228396
topojson,0.24778448371075612,0.21849510760876845,22,300,12,181,0.029289376101987674
jsonify,0.23408320603336807,0.20635286408821685,11,311,6,193,0.027730341945151227
jose,0.4771212547196625,0.450342103239731,26,3175,8,1125,0.026779151479931484
pem,0.21805576059921727,0.19844284976423454,37,607,22,384,0.019612910834982733
constructs,0.42289182580226914,0.40474672907326337,1593,3793,601,1493,0.018145096729005772
jsonpath,0.36586855551426245,0.3485463704949163,136,1456,58,652,0.017322185019346126
phantomjs,0.14612803567823796,0.13026086323611796,13,5062,9,3750,0.015867172442119992
fastmcp,0.46483961545922314,0.4529203155197816,3067,697,1051,245,0.011919299939441519
marko,0.21260809288144356,0.20260939163068636,92,286,56,179,0.009998701250757192
docopt,0.1465258424677569,0.14028642844945471,1965,383,1402,277,0.006239414018302192
errorhandler,0.30102999566398114,0.29623363656893975,13,1890,6,955,0.0047963590950413915
sax,0.30102999566398114,0.303124667643794,13,2493,6,1240,-0.0020946719798128344
couchbase,0.22373289349090775,0.22941200608608048,76,250,45,147,-0.005679112595172731
properties,0.20827594242708258,0.21601920595563273,20,295,12,179,-0.007743263528550148
websocket,0.2839966563652008,0.29207138307731473,99,2350,51,1199,-0.008074726712113955
oracledb,0.39222014918462156,0.40433621385683427,263,854,106,336,-0.012116064672212712
hjson,0.20120197963871234,0.21356905464960052,88,380,55,232,-0.012367075010888184
elasticsearch,0.292149753663995,0.3053208723094385,1306,1423,666,704,-0.013171118645443514
bson,0.30397437631076274,0.3195134013579941,295,1871,146,896,-0.01553902504723137
swig,0.17609125905568113,0.19301896180675016,62,1150,41,737,-0.01692770275106903
firebase-admin,0.42245215854944407,0.44167088447820113,327,3491,123,1262,-0.019218725928757063
aws-cdk-lib,0.36543704424432155,0.38504844786857584,1022,2870,440,1182,-0.019611403624254287
user-agents,0.2945958856585713,0.31430318608945473,133,298,67,144,-0.019707300430883423
commonmark,0.236216529145866,0.25658485722358604,378,463,219,256,-0.020368328077720044
redis,0.28503818720743057,0.3054505245447321,5651,11651,2931,5766,-0.020412337337301523
azure-storage,0.2643071886392414,0.28564275239236325,67,609,36,315,-0.021335563753121844
crc,0.22493982659349832,0.24755414985125812,46,1014,27,573,-0.022614323257759805
pre-commit,0.19327831925578742,0.22190759312053165,15823,14761,10139,8855,-0.02862927386474423
uuid,0.4021908858256964,0.4311101062548497,461,71545,182,26513,-0.02891922042915329
promise,0.24033215531036944,0.27110972643063835,79,8762,45,4693,-0.03077757112026891
email-validator,0.31013952914023646,0.3454491354523941,818,719,400,324,-0.035309606312157626
ollama,0.2786653386861082,0.3144628545778465,983,393,517,190,-0.035797515891738296
ansi,0.17609125905568113,0.22282359734756652,17,445,11,266,-0.04673233829188539
ci-info,0.30102999566398125,0.3499000019026246,11,2893,5,1292,-0.04887000623864335
dropbox,0.17796726405443675,0.23109519304798543,115,268,76,157,-0.05312792899354868
pixelmatch,0.3203351508593679,0.3742183730867046,22,1424,10,601,-0.05388322222733666
mariadb,0.3301882244051946,0.3840822500376597,76,585,35,241,-0.05389402563246515
grpc,0.28630673884327473,0.34383482217860717,28,1416,14,641,-0.057528083335332436
jsonschema,0.25039463044154653,0.3084345399642059,6161,2306,3461,1133,-0.05803990952265936
minio,0.3920611441911026,0.45044815678926886,586,741,237,262,-0.058387012598166255
cassandra-driver,0.2527253160894263,0.31143275606374843,169,337,94,164,-0.05870743997432215
codeclimate-test-reporter,0.05115252244738122,0.110629238330759,17,2636,15,2043,-0.05947671588337777
deprecation,0.24237517221788885,0.3024423366872391,490,615,280,306,-0.06006716446935023
args,0.17609125905568113,0.23683714349163676,29,677,19,392,-0.06074588443595563
supervisor,0.16272729749769965,0.22933677100890648,95,662,65,390,-0.06660947351120683
inflection,0.19732991257557364,0.2640581844143144,659,1507,418,820,-0.06672827183874075
toml,0.21646653574073715,0.2841008224583792,5158,1282,3133,666,-0.06763428671764204
parse,0.32391365379064974,0.3918779733130937,564,497,267,201,-0.06796431952244397
humps,0.30102999566398125,0.36989335716896976,19,756,9,322,-0.06886336150498851
fuzzysearch,0.2455126678141497,0.31875876262441283,43,274,24,131,-0.07324609481026312
argparse,0.22341565864706991,0.2987476248028962,2498,4364,1493,2193,-0.07533196615582627
cookies,0.2041199826559248,0.27963185096275067,15,791,9,415,-0.07551186830682588
coveralls,0.08285599304721858,0.15931907782633647,1352,55085,1117,38169,-0.0764630847791179
prisma,0.43365556093857205,0.5130379961172808,18,3577,6,1097,-0.0793824351787088
varint,0.11918640771920885,0.20091484278071325,24,512,18,322,-0.0817284350615044
asn1,0.16749108729376383,0.2500999031737816,24,867,16,487,-0.08260881588001778
git-url-parse,0.19382002601611292,0.27947249438300714,24,1571,15,825,-0.08565246836689422
multiaddr,0.20925962230833584,0.2955325237527635,33,313,20,158,-0.08627290144442767
lockfile,0.16512112516742938,0.25247960491913624,214,464,146,259,-0.08735847975170685
langchain,0.3838266172785554,0.4723683264945051,3859,1453,1594,489,-0.08854170921594973
pdfkit,0.2632414347745815,0.3519470643338938,175,921,95,409,-0.08870562955931227
graphql-relay,0.24303804868629442,0.33274440884118794,34,425,19,197,-0.08970636015489353
codecov,0.100865878190175,0.1908439386250791,1543,20359,1223,13119,-0.08997806043490408
diff-match-patch,0.2347655227203045,0.32516367538070057,90,517,52,244,-0.09039815266039608
blessed,0.1954922532632417,0.2873226833948408,308,1340,196,691,-0.09183043013159908
vega,0.23408320603336807,0.3270582805273836,11,360,6,169,-0.09297507449401554
twitter,0.10067016188136324,0.19525441834269053,28,416,22,265,-0.09458425646132729
qiniu,0.33206422940395,0.42859754791583526,57,938,26,349,-0.09653331851188529
playwright,0.3212240787976497,0.41907031717100107,2222,9201,1060,3505,-0.09784623837335138
commitizen,0.1769130085570545,0.2760313990484473,528,25636,351,13577,-0.09911839049139282
applicationinsights,0.3832167518513312,0.48375183361867524,28,395,11,129,-0.10053508176734405
ulid,0.3357921019231931,0.43651891460558945,12,999,5,365,-0.10072681268239636
retry,0.2617766965163075,0.36281883295714756,443,1673,242,725,-0.10104213644084004
jmespath,0.30145977747233976,0.40637317620890023,1010,259,504,101,-0.10491339873656047
testcontainers,0.25812971594778666,0.3640495821691805,182,843,100,364,-0.10591986622139382
hashids,0.18832571547269294,0.29498964124300864,53,356,34,180,-0.10666392577031569
lunr,0.1362197470179891,0.24469376735930037,25,656,18,373,-0.10847402034131126
stripe,0.37987600859430204,0.4981835181343106,258,1879,107,596,-0.11830750954000857
progress,0.19399785764975963,0.3124820628206737,457,6147,292,2993,-0.11848420517091407
opentracing,0.23699208818695583,0.3561100775852064,106,360,61,158,-0.11911798939825058
h3,0.22902733424347987,0.34868616642313954,121,865,71,387,-0.11965883217965967
livereload,0.13277691376258494,0.25388498161666506,204,749,150,417,-0.12110806785408013
web3,0.29695556125826883,0.42026126362387295,1166,9171,588,3484,-0.12330570236560412
codacy-coverage,0.03218468337140146,0.15994462310512425,69,1187,64,821,-0.1277599397337228
strip-ansi,0.30102999566398125,0.43025438542061023,21,14426,10,5356,-0.12922438975662898
cdktf,0.15186137943118072,0.2813889851569038,121,280,85,146,-0.12952760572572308
ngrok,0.1845244265925441,0.31442566796506055,25,855,16,414,-0.12990124137251646
temp,0.11394335230683672,0.24778448371075612,12,3449,9,1949,-0.1338411314039194
openai,0.36580232509539945,0.5013270125205098,10890,9296,4690,2930,-0.13552468742511037
webdriver-manager,0.28059612291410607,0.41645558313625175,684,586,358,224,-0.13585946022214568
newrelic,0.255272505103306,0.392057826446083,44,549,24,222,-0.136785321342777
html,0.23736091579460394,0.3755552705695533,18,500,10,210,-0.13819435477494935
docx,0.3750100480257983,0.5150367837379897,82,310,34,94,-0.14002673571219137
raven,0.1741822692483499,0.3143939572219625,226,593,151,287,-0.1402116879736126
resend,0.3832167518513312,0.5255846386562624,28,321,11,95,-0.14236788680493118
bech32,0.2735917473170417,0.41834017784916533,91,1786,48,681,-0.1447484305321236
twilio,0.2984058518378325,0.4451078568886011,329,1267,165,454,-0.14670200505076858
mammoth,0.30102999566398125,0.4537034809497009,71,721,35,253,-0.15267348528571967
cuid,0.14612803567823796,0.30431763045479876,20,1325,14,657,-0.1581895947765608
rollbar,0.28724171117834785,0.44670821827051865,30,385,15,137,-0.1594665070921708
slugify,0.17998630293920548,0.34021578664800733,55,2433,36,1111,-0.16022948370880186
utils,0.32330639037513365,0.49346421999471124,39,351,18,112,-0.1701578296195776
cbor,0.14266750356873148,0.31505148116573434,49,660,35,319,-0.17238397759700286
path,0.21150791627813748,0.3886391071484554,165,24090,101,9844,-0.17713119087031792
http,0.18905623622004897,0.3673055417577178,16,2585,10,1109,-0.17824930553766882
zxcvbn,0.22530928172586284,0.4038119943966847,41,483,24,190,-0.17850271267082185
mysql,0.21307482530885125,0.39287498621856276,48,10271,29,4156,-0.17980016090971151
rlp,0.16331697101925258,0.34378197608493144,200,767,137,347,-0.18046500506567886
jsonpointer,0.2997656731352216,0.48123782091449474,342,529,171,174,-0.18147214777927312
multiformats,0.3162699622207181,0.49792976070785855,28,1538,13,488,-0.18165979848714042
stellar-sdk,0.17609125905568135,0.35881309701037534,26,296,17,129,-0.182721837954694
clang-format,0.10389613386872254,0.288458223127563,46,714,36,367,-0.18456208925884043
crypto,0.18009400150935484,0.36511273642326403,217,6246,143,2694,-0.1850187349139092
pbkdf2,0.16208054461286658,0.35035774869611513,60,949,41,423,-0.18827720408324855
deepmerge,0.22124091959144998,0.4115418443320191,237,14723,142,5707,-0.19030092474056914
dotenv,0.2970638084463799,0.48982956960013624,108,107184,54,34697,-0.19276576115375632
readline,0.18326984368280463,0.38189707305599985,60,3148,39,1306,-0.1986272293731952
neo4j-driver,0.14841983245782275,0.3483293080784349,37,532,26,238,-0.19990947562061212
fs,0.19728055812561918,0.3989210221497155,251,16619,159,6632,-0.2016404640240963
cowsay,0.37819595047628063,0.5821830197472648,42,725,17,189,-0.2039870692709842
cloudinary,0.21670910996394532,0.42276359239706984,27,764,16,288,-0.20605448243312452
pubnub,0.14612803567823796,0.3540781757780356,20,286,14,126,-0.20795014009979762
download,0.10645533091428683,0.3194016857350239,22,2534,17,1214,-0.2129463548207371
config,0.24303804868629442,0.4581942895441715,34,5993,19,2086,-0.2151562408578771
nanoid,0.3067071285556717,0.5232412033801968,76,15582,37,4670,-0.21653407482452502
semver,0.1880082933538909,0.40741201344871225,1015,57916,658,22666,-0.21940372009482134
log-symbols,0.20647388804940214,0.4272254053313933,36,7613,22,2846,-0.22075151728199116
geojson,0.19615461790370858,0.418695230262657,442,374,281,142,-0.2225406123589484
moment,0.276206411938949,0.4987853513354148,16,87217,8,27657,-0.22257893939646578
docker-compose,0.1688648946296314,0.39169105939503623,148,275,100,111,-0.22282616476540484
wcwidth,0.27350388621809607,0.4989558763238673,1512,1447,805,458,-0.22545199010577122
qrcode,0.2822974107320215,0.5101733996436302,725,4625,378,1428,-0.22787598891160865
colorful,0.22184874961635637,0.4544572700837186,99,671,59,235,-0.23260852046736225
chardet,0.21535127702390167,0.4480997617045066,3493,1938,2127,690,-0.23274848468060494
sha3,0.10473535052001304,0.3505153587438996,13,454,10,202,-0.24578000822388657
bcrypt,0.3096301674258988,0.5607045191839326,1376,8487,674,2333,-0.25107435175803383
secp256k1,0.07918124604762489,0.3353690191017127,65,2051,54,947,-0.2561877730540878
pinyin,0.17609125905568113,0.43662003990231124,23,398,15,145,-0.2605287808466301
brotli,0.12257200332919305,0.4001778210383793,60,680,45,270,-0.27760581770918624
aws-xray-sdk,0.17069622716897515,0.46891128467483245,39,261,26,88,-0.2982150575058573
fabric,0.27028496382715694,0.5752635785544817,258,1146,138,304,-0.3049786147273248
bip32,0.11918640771920885,0.4431367574092948,24,1461,18,526,-0.32395034969008596
detox,0.06694678963061329,0.4065852340656053,20,481,17,188,-0.339638444434992
inquirer,0.28795858681622244,0.6449579051532179,719,119366,370,27034,-0.3569993183369955
lit,0.3103700219181247,0.6824639587611525,46,9318,22,1935,-0.37209393684302783
language-tags,0.08715017571890016,0.48279838761135263,21,692,17,227,-0.3956482118924525
clipboard,0.2568263331719276,0.6555100536336163,111,3600,61,795,-0.39868372046168865
telebot,0.5149098156090623,0.9208187539523749,35,474,10,56,-0.40590893834331254
build,0.21787045173432107,0.6538916296008308,8149,639,4934,141,-0.43602117786650973
google-gax,0.16481024864599214,0.6734158998636306,18,362,12,76,-0.5086056512176385
replicate,0.34114721887196353,1.3598354823398882,135,1373,61,59,-1.0186882634679246
